Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
BroomsBarn,2022-05-20,2022-05-20T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T01:00:00Z,0.062,0,0.8,0,0.1,0,0,0.1,0.1,0.2,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.8,0.3,0,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.2
BroomsBarn,2022-05-20,2022-05-20T02:00:00Z,0.064,0,0.9,0,0.1,0,0,0.1,0.1,0.2,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.9,0.3,0,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0.1,0.2
BroomsBarn,2022-05-20,2022-05-20T03:00:00Z,0.002,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T04:00:00Z,0.012,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T05:00:00Z,0.016,0,0.6,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T06:00:00Z,0.006,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T07:00:00Z,0.006,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T08:00:00Z,0.054,0,0.7,0,0,0,0,0,0,0.4,0,0.4,0,0.1,0,0,0,0,0,0,0,0.2,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0.1,0.7,0,0,0,0,0.1,0,0,0
BroomsBarn,2022-05-20,2022-05-20T09:00:00Z,0.284,0,1.3,0,0.1,0.3,0.1,0.2,0.3,1,0.3,1.3,0.1,0.2,0.3,0,0.2,0,0,0.2,0.1,1.2,0.1,0.6,0.3,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.8,0.3,0.1,0.1,0.3,0.6,0.7,0.1,0.2,0.2,0.7,1,0.1,0,0,0.1,0.3,0.1,0.3,0.1
BroomsBarn,2022-05-20,2022-05-20T10:00:00Z,0.71,0,3.9,0.2,0.3,0.5,0.2,0.5,0.7,0.9,1.5,2,0.2,1.3,0.6,0.4,0.5,0.1,0.3,0.5,0.3,3.9,0.6,1.2,1,0.1,0.2,0.8,0.4,0.3,0.2,0.5,1.5,1.9,0.3,0.1,0.7,0.7,1,1.8,0.3,1.1,0.3,1.4,0.6,0.4,0.2,0,0.5,0.5,0.4,1,0.6
BroomsBarn,2022-05-20,2022-05-20T11:00:00Z,1.444,0.1,6.7,2.1,0.8,0.5,1.2,0.9,1.1,0.9,2.3,1.8,0.6,3.2,0.6,1.6,1.6,0.9,0.9,0.7,0.4,6.7,1.5,3,2.7,0.5,0.8,2.4,0.6,0.3,0.2,0.8,3,3.1,1.4,0.1,0.9,1.6,1.6,2.7,0.9,1.8,0.7,2.5,0.8,1.7,0.6,0.1,1.4,0.3,2.4,1.6,1.4
BroomsBarn,2022-05-20,2022-05-20T12:00:00Z,1.824,0.1,5.7,3.8,1.5,0.8,1.9,1.4,1.8,1,2,1.4,1.2,2.7,0.3,2.3,2.7,2.1,0.9,0.4,0.4,5.7,1.4,4,3.3,1,1.5,2.5,0.9,0.2,1.1,1.3,2.3,5,2,0.2,0.5,2.1,1.6,2.2,1.4,1.4,2.1,4.6,0.8,2.5,0.9,0.3,2.2,0.1,2.8,2.8,1.9
BroomsBarn,2022-05-20,2022-05-20T13:00:00Z,1.148,0,4.7,2.4,2,0.5,0.8,1.1,1.3,0.6,0.9,1,0.9,0.7,0,1.3,1.4,2.6,0.3,0.1,0.2,2.7,0.4,2.1,1.6,0.7,0.9,0.9,0.9,0.4,1.1,1.2,0.7,4.7,0.7,0.1,0.2,1,0.6,0.6,1.1,0.5,2.1,4.4,0.2,1.2,0.7,0.2,2.8,0.1,1,2.4,1.1
BroomsBarn,2022-05-20,2022-05-20T14:00:00Z,0.322,0,1.9,0.5,1.3,0,0,0.4,0.2,0.2,0,0.4,0.2,0,0,0.2,0,1.6,0,0.1,0,0.8,0,0.4,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.7,0.1,1.9,0,0,0,0.1,0.1,0,0.4,0,0.6,1.5,0,0.1,0.2,0,1.8,0,0.3,0.6,0.1
BroomsBarn,2022-05-20,2022-05-20T15:00:00Z,0.032,0,0.3,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0
BroomsBarn,2022-05-20,2022-05-20T16:00:00Z,0.012,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T17:00:00Z,0.018,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T18:00:00Z,0.012,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T19:00:00Z,0.006,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T20:00:00Z,0.004,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T21:00:00Z,0.002,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T22:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BroomsBarn,2022-05-20,2022-05-20T23:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
